product_name,quantity_available,price_per_unit,description,sku_code
Laptop,50,999.99,Lightweight 15 inch laptop with 16GB RAM,LAP-15-16
Desktop Computer,30,1499.99,Workstation desktop with i7 CPU and 32GB RAM,DESK-I7-32
Wireless Mouse,200,29.99,2.4GHz ergonomic wireless mouse,MOU-WL-01
USB-C Cable,500,12.99,1m USB-C to USB-C charging cable,CAB-USB-C-1M
Monitor 27 inch,75,299.99,27 inch IPS monitor 1440p,MON-27-1440
Keyboard Mechanical,100,149.99,Mechanical keyboard with RGB backlight,KEY-MECH-RGB
Webcam HD,60,79.99,1080p USB webcam with built-in mic,WEB-1080-MIC
Headphones Bluetooth,120,199.99,Over-ear Bluetooth noise-cancelling headphones,HP-BT-NC
External SSD 1TB,90,149.99,Portable 1TB external SSD with USB-C,SSD-1TB-USB-C
USB Hub 7 Port,150,39.99,7-port USB 3.0 hub with power adapter,HUB-7P-USB3
